material_id,alloy_name,elastic_modulus,bulk_modulus,shear_modulus,density,formation_energy,elements,num_elements,nsites,source
mp-30151,CuAuSe4,47.530078136866095,29.101,19.356,7.090108248170171,-0.393256703229165,"Au,Cu,Se",3,12,Materials Project
mp-31510,NbCuTe2,94.47346619580044,65.953,37.452,7.503943033533957,-0.5334687008333321,"Cu,Nb,Te",3,8,Materials Project
mp-571599,Ba(BiPd)2,54.52003235532355,59.927,20.217,9.572845761963215,-0.642472992999996,"Ba,Bi,Pd",3,10,Materials Project
mp-5918,Hf2NiP,242.04469745234968,180.029,94.851,11.58832045003054,-1.042635325744047,"Hf,Ni,P",3,8,Materials Project
mp-9391,TaNi2Te3,27.17577886817577,21.521,10.537,7.923500166289438,-0.569353499555553,"Ni,Ta,Te",3,12,Materials Project
mp-1025150,Cu2WSe4,30.089522053829587,30.602,11.26,6.097153736070272,-0.21293031803571602,"Cu,Se,W",3,7,Materials Project
mp-1018079,CrGaP2,57.117343225556624,79.184,20.698,3.7425289883301742,-0.07222095898809501,"Cr,Ga,P",3,4,Materials Project
mp-1018083,CrCdTe2,24.60424637692796,38.574,8.827,5.2338190520093,-0.335086943333332,"Cd,Cr,Te",3,4,Materials Project
mp-1018709,Hf2GaSb3,153.10746919359224,93.197,62.432,9.922425076880305,-0.5059647016666701,"Ga,Hf,Sb",3,6,Materials Project
mp-1430957,Zn(CoN)2,134.03873286158014,136.422,50.155,5.900039240386355,0.39978715663636205,"Co,N,Zn",3,5,Materials Project
mp-16421,Zr2CuSb3,121.20372606044684,95.97,46.996,7.565332191217859,-0.561474075,"Cu,Sb,Zr",3,6,Materials Project
mp-19928,Hf2CuSb3,128.40836864796796,101.457,49.807,9.922904424279498,-0.44938926833333104,"Cu,Hf,Sb",3,6,Materials Project
mp-505804,Ti2CuSb3,130.7827509447793,90.931,51.886,7.260230170344859,-0.33196598210318,"Cu,Sb,Ti",3,6,Materials Project
mp-640073,FeCuS2,50.126157150166456,43.783,19.144,4.257424876123022,-0.512044461249999,"Cu,Fe,S",3,4,Materials Project
mp-571443,SrMgIn3,55.58367346986269,35.493,22.431,5.419645813003214,-0.292186542999998,"In,Mg,Sr",3,5,Materials Project
mp-755302,TiNbO4,78.20816235138166,162.315,27.544,4.41673825127051,-3.157380078888889,"Nb,O,Ti",3,6,Materials Project
mp-754839,SnBiO4,87.85905277817105,118.856,31.907,6.73586510485157,-1.694535004166666,"Bi,O,Sn",3,6,Materials Project
mp-1025207,Ti(CrTe2)2,80.2067344807887,47.988,32.833,6.278853819616451,-0.6049455257142851,"Cr,Te,Ti",3,7,Materials Project
mp-1025173,Ti(MoS2)2,163.27892104470513,104.193,65.901,5.228463324556091,-1.168557523333332,"Mo,S,Ti",3,7,Materials Project
mp-1025180,Mn(CrSe2)2,73.53497782037864,48.783,29.443,5.447482598067403,-0.7704808667580041,"Cr,Mn,Se",3,7,Materials Project
mp-1025151,Cr2NiSe4,91.96634599571716,63.633,36.52,6.227119155361774,-0.6979948156249981,"Cr,Ni,Se",3,7,Materials Project
mp-1025181,Tm2Cr2C3,193.82625492868996,166.232,74.225,8.817937743148805,-0.336101299285716,"C,Cr,Tm",3,7,Materials Project
mp-1025190,Co2NiSe4,109.05344283764396,100.763,41.32,7.066180709266144,-0.31173811946428603,"Co,Ni,Se",3,7,Materials Project
mp-1025182,V2FeSe4,113.30605361823717,64.874,46.863,6.400620979274316,-0.835282899910714,"Fe,Se,V",3,7,Materials Project
mp-1025203,Ti2VSe4,113.22452390507941,67.424,46.399,5.468677941222612,-1.305356773720238,"Se,Ti,V",3,7,Materials Project
mp-1025266,Tb2Cr2C3,174.4339648318785,156.439,66.367,8.019266022346928,-0.290318111190469,"C,Cr,Tb",3,7,Materials Project
mp-1025264,U2W2C3,241.99426700981178,181.898,94.657,14.498926407020662,-0.203657185714283,"C,U,W",3,7,Materials Project
mp-1025278,V2CrTe4,75.73797488321111,53.889,29.918,6.477785782710129,-0.5093574238095231,"Cr,Te,V",3,7,Materials Project
mp-1025232,V2CrSe4,122.81647591008341,76.515,49.825,6.122050279610108,-0.915315198482142,"Cr,Se,V",3,7,Materials Project
mp-1025224,V(CrS2)2,145.9076090610991,92.785,58.933,4.05259622159128,-1.05589464142857,"Cr,S,V",3,7,Materials Project
