alloy_name,elastic_modulus,source,mixing_entropy,mixing_enthalpy,valence_electron,diff_in_atomic_radii,diff_electronegativity,omega,lambda,phases,density,hardness,yield_strength
MoWTiZr,172.58,DOE/OSTI,8.64471948246596,-6.0855,5.0,6.7281473687109505,0.425051467471881,3.78574930914005,0.190967698628565,,,,
MoWTiTa,199.23,DOE/OSTI,8.64471948246596,-5.0075,5.25,2.9935495533847503,0.376961536499415,5.10224032559723,0.964668288006082,,,,
MoTaTiZr,161.75,DOE/OSTI,11.5262926432879,-2.578,4.75,5.98019552488699,0.314592991021732,11.4625805912449,0.322298937990175,,,,
WTiTaZr,168.65,DOE/OSTI,8.64471948246596,-4.4755,4.75,5.89768734250022,0.399022242487809,5.3378800781576805,0.248534918462931,,,,
MoTaTiWZr,157.56,DOE/OSTI,10.7052890873375,-5.17151999999999,5.0,6.05573898982993,0.404791304254426,5.7754309281742495,0.29192016986088803,,,,
CoFeNi,207.0,Gorsse,,,,,,,,FCC,8.5,125.0,204.0
CoFeNiSi0.25,194.0,Gorsse,,,,,,,,FCC,7.7,149.0,196.0
Al0.25CoFeNi,196.0,Gorsse,,,,,,,,FCC,7.9,138.0,158.0
Al0.5CoFeNi,187.0,Gorsse,,,,,,,,FCC + BCC,7.4,212.0,346.0
Al0.75CoFeNi,179.0,Gorsse,,,,,,,,FCC + BCC,7.0,385.0,794.0
CoCrFeNi,225.0,Gorsse,,,,,,,,FCC,8.2,,148.0
CoCrFeNiTi,135.0,Gorsse,,,,,,,,FCC,7.2,,
Co1.5CrFeNi1.5Ti0.5,211.0,Gorsse,,,,,,,,FCC,7.8,509.0,
Al0.25CoCrFeNi,216.0,Gorsse,,,,,,,,FCC,7.7,110.0,
Al0.375CoCrFeNi,211.0,Gorsse,,,,,,,,FCC,7.5,131.0,
Al0.5CoCrFeNi,208.0,Gorsse,,,,,,,,FCC + BCC,7.3,159.0,
Al0.75CoCrFeNi,200.0,Gorsse,,,,,,,,FCC + BCC,7.0,388.0,
Al0.875CoCrFeNi,197.0,Gorsse,,,,,,,,FCC + BCC,6.9,,
AlCoCrFeNi,194.0,Gorsse,,,,,,,,BCC,6.7,484.0,
AlCoCrFeNi,125.0,Gorsse,,,,,,,,BCC,6.7,,1138.0
Al1.25CoCrFeNi,188.0,Gorsse,,,,,,,,BCC,6.5,487.0,
Al1.5CoCrFeNi,183.0,Gorsse,,,,,,,,BCC,6.2,484.0,
Al2CoCrFeNi,173.0,Gorsse,,,,,,,,BCC,5.9,509.0,
Al2.5CoCrFeNi,165.0,Gorsse,,,,,,,,BCC,5.6,487.0,
Al3CoCrFeNi,158.0,Gorsse,,,,,,,,BCC,5.3,506.0,
AlC0.1CoCrFeNi,213.0,Gorsse,,,,,,,,BCC + Im,6.7,,957.0
AlC0.2CoCrFeNi,151.0,Gorsse,,,,,,,,BCC + Im,6.8,,906.0
AlC0.3CoCrFeNi,137.0,Gorsse,,,,,,,,BCC + Im,6.8,,867.0
AlC0.4CoCrFeNi,156.0,Gorsse,,,,,,,,BCC + Im,6.8,,1056.0
AlC0.5CoCrFeNi,181.0,Gorsse,,,,,,,,BCC + Im,6.8,,1060.0
AlCCoCrFeNi,75.0,Gorsse,,,,,,,,BCC + Im,6.9,,1251.0
AlC1.5CoCrFeNi,73.0,Gorsse,,,,,,,,BCC + Im,7.0,,1255.0
AlCoCrFeMo0.1Ni,196.0,Gorsse,,,,,,,,BCC,6.8,,1804.0
Al2CoCrFeMo0.5Ni,185.0,Gorsse,,,,,,,,BCC,6.3,605.0,
AlCoCrFeNb0.1Ni,192.0,Gorsse,,,,,,,,BCC,6.8,569.0,1641.0
AlCoCrFeNiSi0.2,188.0,Gorsse,,,,,,,,BCC,6.5,,1265.0
AlCoCrFeNiSi0.4,183.0,Gorsse,,,,,,,,BCC,6.2,,1481.0
AlCoCrFeNiSi0.6,178.0,Gorsse,,,,,,,,BCC,6.0,,1834.0
AlCoCrFeNi,169.0,Gorsse,,,,,,,,BCC,5.7,,1110.0
Al0.2Co1.5CrFeNi1.5Ti0.5,206.0,Gorsse,,,,,,,,FCC,7.6,487.0,
Al0.5CoCrFeNiTi,107.0,Gorsse,,,,,,,,BCC + Im,6.6,,
AlCoCrFeNiTi0.5,72.0,Gorsse,,,,,,,,FCC,6.4,178.0,2040.0
AlCoCrFeNiTi0.5,178.0,Gorsse,,,,,,,,BCC,6.4,178.0,2260.0
AlCoCrFeNiTi,90.0,Gorsse,,,,,,,,BCC,6.2,,1860.0
AlCoCrFeNiTi,148.0,Gorsse,,,,,,,,BCC + Im,6.2,,
